lag,correlation
-10,0.5201963223279621
-9,0.5477145055533416
-8,0.5671604999070359
-7,0.5818050156553762
-6,0.5997333140989053
-5,0.6082392210398452
-4,0.6024318680207471
-3,0.602429451325189
-2,0.617410790224033
-1,0.6354448175016559
0,0.6371118270516447
1,0.6281976722663694
2,0.6257659667286793
3,0.6217168920938606
4,0.6201414144969843
5,0.6038653350256107
6,0.5927579123591756
7,0.5812507158455382
8,0.5783401855321944
9,0.5727871525325396
10,0.5750184259268021
