week,cryptocurrency,search_interest
2020-11-08,Ethereum,8
2020-11-15,Ethereum,10
2020-11-22,Ethereum,17
2020-11-29,Ethereum,13
2020-12-06,Ethereum,9
2020-12-13,Ethereum,13
2020-12-20,Ethereum,13
2020-12-27,Ethereum,23
2021-01-03,Ethereum,59
2021-01-10,Ethereum,48
2021-01-17,Ethereum,39
2021-01-24,Ethereum,37
2021-01-31,Ethereum,45
2021-02-07,Ethereum,54
2021-02-14,Ethereum,51
2021-02-21,Ethereum,51
2021-02-28,Ethereum,34
2021-03-07,Ethereum,37
2021-03-14,Ethereum,31
2021-03-21,Ethereum,27
2021-03-28,Ethereum,35
2021-04-04,Ethereum,35
2021-04-11,Ethereum,46
2021-04-18,Ethereum,48
2021-04-25,Ethereum,48
2021-05-02,Ethereum,94
2021-05-09,Ethereum,100
2021-05-16,Ethereum,89
2021-05-23,Ethereum,70
2021-05-30,Ethereum,48
2021-06-06,Ethereum,40
2021-06-13,Ethereum,32
2021-06-20,Ethereum,39
2021-06-27,Ethereum,31
2021-07-04,Ethereum,29
2021-07-11,Ethereum,25
2021-07-18,Ethereum,29
2021-07-25,Ethereum,32
2021-08-01,Ethereum,44
2021-08-08,Ethereum,44
2021-08-15,Ethereum,36
2021-08-22,Ethereum,32
2021-08-29,Ethereum,40
2021-09-05,Ethereum,38
2021-09-12,Ethereum,28
2021-09-19,Ethereum,31
2021-09-26,Ethereum,27
2021-10-03,Ethereum,31
2021-10-10,Ethereum,33
2021-10-17,Ethereum,41
2021-10-24,Ethereum,38
2021-10-31,Ethereum,42
2021-11-07,Ethereum,46
2021-11-14,Ethereum,41
2021-11-21,Ethereum,37
2021-11-28,Ethereum,42
2021-12-05,Ethereum,37
2021-12-12,Ethereum,34
2021-12-19,Ethereum,31
2021-12-26,Ethereum,31
2022-01-02,Ethereum,39
2022-01-09,Ethereum,37
2022-01-16,Ethereum,35
2022-01-23,Ethereum,46
2022-01-30,Ethereum,38
2022-02-06,Ethereum,34
2022-02-13,Ethereum,30
2022-02-20,Ethereum,32
2022-02-27,Ethereum,28
2022-03-06,Ethereum,25
2022-03-13,Ethereum,22
2022-03-20,Ethereum,26
2022-03-27,Ethereum,29
2022-04-03,Ethereum,23
2022-04-10,Ethereum,23
2022-04-17,Ethereum,19
2022-04-24,Ethereum,18
2022-05-01,Ethereum,20
2022-05-08,Ethereum,35
2022-05-15,Ethereum,24
2022-05-22,Ethereum,22
2022-05-29,Ethereum,20
2022-06-05,Ethereum,20
2022-06-12,Ethereum,45
2022-06-19,Ethereum,30
2022-06-26,Ethereum,24
2022-07-03,Ethereum,21
2022-07-10,Ethereum,20
2022-07-17,Ethereum,28
2022-07-24,Ethereum,23
2022-07-31,Ethereum,22
2022-08-07,Ethereum,25
2022-08-14,Ethereum,24
2022-08-21,Ethereum,21
2022-08-28,Ethereum,20
2022-09-04,Ethereum,22
2022-09-11,Ethereum,43
2022-09-18,Ethereum,24
2022-09-25,Ethereum,17
2022-10-02,Ethereum,14
2022-10-09,Ethereum,13
2022-10-16,Ethereum,12
2022-10-23,Ethereum,16
2022-10-30,Ethereum,16
2022-11-06,Ethereum,22
2022-11-13,Ethereum,18
2022-11-20,Ethereum,15
2022-11-27,Ethereum,13
2022-12-04,Ethereum,11
2022-12-11,Ethereum,12
2022-12-18,Ethereum,12
2022-12-25,Ethereum,11
2023-01-01,Ethereum,12
2023-01-08,Ethereum,14
2023-01-15,Ethereum,16
2023-01-22,Ethereum,14
2023-01-29,Ethereum,14
2023-02-05,Ethereum,12
2023-02-12,Ethereum,13
2023-02-19,Ethereum,12
2023-02-26,Ethereum,11
2023-03-05,Ethereum,11
2023-03-12,Ethereum,15
2023-03-19,Ethereum,15
2023-03-26,Ethereum,12
2023-04-02,Ethereum,13
2023-04-09,Ethereum,18
2023-04-16,Ethereum,15
2023-04-23,Ethereum,12
2023-04-30,Ethereum,11
2023-05-07,Ethereum,11
2023-05-14,Ethereum,9
2023-05-21,Ethereum,9
2023-05-28,Ethereum,10
2023-06-04,Ethereum,10
2023-06-11,Ethereum,10
2023-06-18,Ethereum,11
2023-06-25,Ethereum,10
2023-07-02,Ethereum,10
2023-07-09,Ethereum,10
2023-07-16,Ethereum,10
2023-07-23,Ethereum,9
2023-07-30,Ethereum,8
2023-08-06,Ethereum,8
2023-08-13,Ethereum,9
2023-08-20,Ethereum,8
2023-08-27,Ethereum,8
2023-09-03,Ethereum,8
2023-09-10,Ethereum,7
2023-09-17,Ethereum,7
2023-09-24,Ethereum,7
2023-10-01,Ethereum,7
2023-10-08,Ethereum,7
2023-10-15,Ethereum,8
2023-10-22,Ethereum,11
2023-10-29,Ethereum,10
2023-11-05,Ethereum,13
2023-11-12,Ethereum,12
2023-11-19,Ethereum,11
2023-11-26,Ethereum,11
2023-12-03,Ethereum,17
2023-12-10,Ethereum,13
2023-12-17,Ethereum,12
2023-12-24,Ethereum,13
2023-12-31,Ethereum,13
2024-01-07,Ethereum,20
2024-01-14,Ethereum,14
2024-01-21,Ethereum,11
2024-01-28,Ethereum,10
2024-02-04,Ethereum,11
2024-02-11,Ethereum,15
2024-02-18,Ethereum,16
2024-02-25,Ethereum,26
2024-03-03,Ethereum,30
2024-03-10,Ethereum,29
2024-03-17,Ethereum,22
2024-03-24,Ethereum,17
2024-03-31,Ethereum,14
2024-04-07,Ethereum,15
