WEEK,VOLUME_USD
2022-10-10 00:00:00.000,6334469838.93
2022-10-17 00:00:00.000,6936114092.67
2022-10-24 00:00:00.000,12210172588.78
2022-10-31 00:00:00.000,11016250896.09
2022-11-07 00:00:00.000,32989242241.79
2022-11-14 00:00:00.000,11038571302.91
2022-11-21 00:00:00.000,11948471526.85
2022-11-28 00:00:00.000,8270971045.19
2022-12-05 00:00:00.000,5885797266.02
2022-12-12 00:00:00.000,8874957802.81
2022-12-19 00:00:00.000,5776921610.2
2022-12-26 00:00:00.000,5356846772.76
2023-01-02 00:00:00.000,5921901521.22
2023-01-09 00:00:00.000,12381316192.38
2023-01-16 00:00:00.000,12121410576.27
2023-01-23 00:00:00.000,11521961630.51
2023-01-30 00:00:00.000,10607205928.12
2023-02-06 00:00:00.000,11478793199.85
2023-02-13 00:00:00.000,14604415317.91
2023-02-20 00:00:00.000,10309818446.71
2023-02-27 00:00:00.000,9619417008.15
2023-03-06 00:00:00.000,35846008010.8
2023-03-13 00:00:00.000,21336390437.83
2023-03-20 00:00:00.000,11315784961.08
2023-03-27 00:00:00.000,7672824251.06
2023-04-03 00:00:00.000,6560623691.48
2023-04-10 00:00:00.000,8155349752.1
2023-04-17 00:00:00.000,7760252123.71
2023-04-24 00:00:00.000,7424667496.51
2023-05-01 00:00:00.000,9687639927.57
2023-05-08 00:00:00.000,8788577947.25
2023-05-15 00:00:00.000,5210621615.57
2023-05-22 00:00:00.000,5789344127.96
2023-05-29 00:00:00.000,5262712711.45
2023-06-05 00:00:00.000,7625814511.56
2023-06-12 00:00:00.000,7224856091.74
2023-06-19 00:00:00.000,7992277092.36
2023-06-26 00:00:00.000,6948432439.61
2023-07-03 00:00:00.000,5464316585.76
2023-07-10 00:00:00.000,6135960715.52
2023-07-17 00:00:00.000,11558801003.48
2023-07-24 00:00:00.000,4516874182.04
2023-07-31 00:00:00.000,5220724893.55
2023-08-07 00:00:00.000,4636397299.2
2023-08-14 00:00:00.000,6602140913.4
2023-08-21 00:00:00.000,4891595085.27
2023-08-28 00:00:00.000,5316848748.01
2023-09-04 00:00:00.000,3876208498.23
2023-09-11 00:00:00.000,4895306949.29
2023-09-18 00:00:00.000,4238058598.94
2023-09-25 00:00:00.000,4442764480.98
2023-10-02 00:00:00.000,4572993563.96
